group,subgroup,subject,tool,language ,course,date,stars,cerificate,instructor,company,theory,practice,total,country
Business,CRM,Marketing,,,Top 10 Marketing Challenges,2018-01-06,5,Yes,Drew Boyd,Linkedin,3,0,3,United Kingdown
Business,CRM,Marketing,,,Customer Segmentation,2016-01-11,5,Yes,Doug Ladd,Linkedin,2,0,2,United States
Business,CRM,Sales,,,A Complete Sales Training to Increase Sales,2022-03-27,5,Yes,Madhuri Singh,Udemy,20,0,20,United Kingdown
Business,Enterpreneurship,Business Call,,,Sramana Mitra on Bootstrapping,2016-01-07,5,Yes,Sramana Mitra,Linkedin,1,0,1,United States
Business,Enterpreneurship,Business Call,,,Forum of Entrepeneurs of TIC  MERCOSUL,2006-01-08,5,Yes,,SOFTSUL,12,24,36,Brasil
Business,Enterpreneurship,Management,,,Workshop EMPRETEC,2004-01-08,5,Yes,Fernando Gameleira,SEBRAE,80,0,80,Brasil
Business,Enterpreneurship,Management,,,Learning how to Enterpreneur in the Internet,2003-01-08,5,Yes,,SEBRAE,16,0,16,Brasil
Business,Enterpreneurship,Management,,,Strategical Thinking,2018-01-07,5,Yes,Dorie Clark,Linkedin,3,0,3,United Kingdown
Business,Techniques,Sales,,,Executive Business Call,2002-01-12,5,No,,Xerox,8,0,8,Brasil
Business,Techniques,Communication,,,Business Writing Fundamentals,2015-03-19,5,Yes,Judy SteinerWillians,Linkedin,2,0,2,United States
Business,Techniques,Communication,,,Writing Business Reports,2015-03-19,5,Yes,Judy SteinerWillians,Linkedin,2,0,2,United States
Business,Techniques,Communication,,,Pitching Projects and Products to Executives,2015-03-18,5,Yes,Dane Howard,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Public Speaking Fundamental,2015-03-13,5,Yes,Laura Bergells,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Building Trust,2015-03-13,5,Yes,Brenda Bailye Hughes,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Overcoming Your Fear of Public Speech,2015-01-09,5,Yes,Todd Duwett,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Personal Branding,2015-01-09,5,Yes,Lorrie Thomas Ross,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Top 5 Speed Reading Tips,2015-01-09,5,Yes,Paul Nowak,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Body Language for Leaders,2015-01-09,5,Yes,Carol Kinsey Goman,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Developing Political Sawoa,2015-01-09,5,Yes,Todd Duwett,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Humor in the Workspace,2015-01-08,5,Yes,Izzy Gessel,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Grammar Fundamentals,2015-01-08,5,Yes,Judy Steiner Willians,Linkedin,2,0,2,United States
Business,Techniques,Communication,,,Learning to be Assertive,2015-01-07,5,Yes,Chris Croft,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Working with Upset Customers,2015-01-07,5,Yes,Jeff Toister,Linkedin,1,0,1,United States
Business,Techniques,Communication,,,Leading with Emotional Inteligence,2015-01-06,5,Yes,Britt Andreatta,Linkedin,2,0,2,United States
Business,Techniques,Communication,,,Influencing Others,2015-01-06,5,Yes,John Ulmen,Linkedin,2,0,2,United States
Business,Techniques,Communication,,,Diversity and Inclusion Training Program,2012-10-19,5,Yes,Web,Wipro Technologies,8,0,8,India
Business,Techniques,Communication,,,Negotiation Practical Trainning,2004-01-10,5,Yes,,IBEC,16,0,16,Brasil
Business,Techniques,Communication,,,Enterview Training,1997-01-08,5,Yes,Patricia Fradjack,Softtek,16,0,16,Brasil
Business,Techniques,Communication,,,Business Berraviour,1993-01-07,5,Yes,,Centro Ana Terra,36,0,36,Brasil
Business,Techniques,Finances,,,Stock Marketing,2008-01-06,5,Yes,,PUCRS,36,0,36,Brasil
Business,Techniques,Finances,,,Master Bovespa  Stock Marketing,2006-01-11,5,Yes,,BOVESPA,16,0,16,Brasil
Business,Techniques,Finances,,,Finantial Analysis and Planning,2004-01-09,5,Yes,,SEBRAE,15,0,15,Brasil
Business,Techniques,Innovation,,,Business Innovation Fundamentals,2015-01-05,5,Yes,Drew Boyd,Linkedin,3,0,3,United States
Business,Techniques,Innovation,,,Meeting the Chalenge of a Digital Transformation,2015-01-05,5,Yes,John Mancini,Linkedin,1,0,1,United States
Business,Techniques,Logistic,,,Fundamentals of logistics,2015-01-09,5,Yes,Steven Brown,Linkedin,2,0,2,United States
Business,Techniques,Machine Learning,,,Top 5 Tips to Name Your Brand,2015-01-08,5,Yes,Drew Boyd,Linkedin,2,0,2,United States
Business,Techniques,Productivity,,,Outlook 2010  Time Management with Calendar and Tasks,2015-03-19,5,Yes,Gini Courter,Linkedin,2,5,7,United States
Business,Techniques,Productivity,,,Leading Produtive Meetings,2015-03-18,5,Yes,Dave Crenshaw,Linkedin,2,0,2,United States
Business,Techniques,Productivity,,,Business Etiquette Phone Mail and Text,2015-01-08,5,Yes,Suzana Kaye,Linkedin,1,0,1,United States
Business,Techniques,Productivity,,,Decision Making Fundamentals,2015-01-05,5,Yes,Mike Figliuolo,Linkedin,1,0,1,United States
Business,Techniques,Quality,,,Lean,2012-01-06,5,No,Web,Wipro Technologies,16,0,16,India
Business,Techniques,Quality,,,Total Quality Management,1995-01-01,5,Yes,,UNESA,24,0,24,Brasil
Business,Techniques,Sales,,,Presentation Fundamentals,2015-05-14,5,Yes,Tatiana Kolovou,Linkedin,2,0,2,United States
Business,Techniques,Sales,,,Sales Fundamentals,2015-04-14,5,Yes,Jeff Blomfield,Linkedin,1,0,1,United States
Business,Techniques,Sales,,,The sales Explosion Program,2015-01-10,5,No,Blair Singer,Success Resources,16,0,16,United Kingdown
