Area,Course,Date,Skills,Technology,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Information technology,Google Cloud Plataform Master Class - All 4GCP Certifications,2022-05-30,Cloud computing,Google Cloud,,,Yes,Anshul,Udemy,31,20,51,United Kingdown
Project Management,Leading Agile Teams with JIRA Software Cloud,2022-05-19,Agile,JIRA,,,Yes,Jose Portilla,Udemy,8.5,8.5,17,United States
Data Science,Microsoft Power BI Desktop for Business Intelligence,2022-05-10,Data Management,Power BI,,,Yes,"Chris Dutton, Aaron Perry",Udemy,31,24,55,United States
Information technology,Algoritim Trading and Time Series Analysis in Python and R,2022-04-21,Quant Finances,R,,,Yes,Holczer Balazs,Udemy,18.5,18.5,37,United Kingdown
Information technology,Website Hacking Penetration Test & Bug Bounty Hunting,2022-03-31,Security,Ethical Hacking,,,Yes,Zaid Sabih,Udemy,10.5,10.5,21,United Kingdown
Information technology,Complete Ethical Hacking Bootcamp 2022,2022-03-27,Security,Ethical Hacking,,,Yes,Andrei Neagoei,Udemy,28,28,56,United Kingdown
Information technology,Learn Python and Ethical Hack from Scratch,2022-03-27,Security,Ethical Hacking,,,Yes,Zaid Sabih,Udemy,25,25,50,United Kingdown
Information technology,Learn Social Engineering from Scratch,2022-03-27,Security,Ethical Hacking,,,Yes,Zaid Sabih,Udemy,13,13,26,United Kingdown
Business,A Complete Sales Training to Increase Sales,2022-03-27,Sales,Concepts,,,Yes,Madhuri Singh,Udemy,20,0,20,United Kingdown
Information technology,Learn Ethical Hacking from Scratch,2022-01-23,Security,Ethical Hacking,,,Yes,Zaid Sabih,Udemy,16,16,32,United Kingdown
Information technology,The Ultimate Dark Web Anonimity Privacy and Security Course,2022-01-02,Security,Ethical Hacking,,,Yes,Zaid Sabih,Udemy,11,11,22,United Kingdown
Data Science,Learn Data Science and  Machine Learning with R from A-Z,2022-01-01,Coding,R,,,Yes,Juan E. Galvan,Udemy,29,20,49,United Kingdown
Information technology,Developer to Architect: Mastering Software Architecture,2021-11-30,Cloud computing,AWS,,,Yes,Anurag Yadav,Udemy,25.5,25.5,51,United Kingdown
Information technology,Ultimate AWS Solutions Architect Professional 2021,2021-11-30,Cloud computing,AWS,,,Yes,Stephane Maarek,Udemy,14.5,14.5,29,United Kingdown
Data Science,20 Real World Data Science and Machine Learning 2021,2021-10-31,Tensorflow,Python,,,Yes,,Udemy,20,10,30,United Kingdown
Information technology,AWS Certified Security Specialty,2021-10-24,Cloud computing,AWS,,,Yes,Chandra Lingan,Udemy,17.5,17.5,35,United Kingdown
Data Science,Data science with R Tidyverse,2021-09-25,Coding,R,,,Yes,Marko Intihar,Udemy,30,30,60,United Kingdown
