Area,Course,Date,Skills,Technology,Group,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Information technology,CCNA Security 210-216 all about VPN,22/06/2022,Cloud computing,VPN,Infrastructure,,15,No,Chris Briant,Udemy,1,0,1,United States
Information technology,Introduction to Networking for complete beginners,21/06/2022,Cloud computing,Concepts,Infrastructure,,15,No,Marious Kuriata,Udemy,2,0,2,United Kingdown
Project Management,Agile PM 101 - Learn the truth about Agile versus Waterfall,21/06/2022,Agile,Concepts,,,,No,,,1,0,1,United Kingdown
Project Management,The Ultimate Advanced Training for Agile Product Owners,17/06/2022,Agile,Concepts,,,,Yes,Vladimir Raykov,Udemy,5.5,4.5,10,United Kingdown
Information technology,Google Cloud Plataform Master Class - All 4GCP Certifications,30/05/2022,Cloud computing,Google Cloud,Infrastructure,,11,Yes,Anshul,Udemy,31,20,51,United Kingdown
Project Management,Agile Transformation  and Scale Agile,25/05/2022,Agile,Concepts,,,,Yes,ICAN Consultancy,Udemy,4.5,0,4.5,Canada
Project Management,Leading Agile Teams with JIRA Software Cloud,19/05/2022,Agile,JIRA,,,,Yes,Jose Portilla,Udemy,8.5,8.5,17,United States
Data Science,Microsoft Power BI Desktop for Business Intelligence,10/05/2022,Data Management,Power BI,Software,,,Yes,"Chris Dutton, Aaron Perry",Udemy,31,24,55,United States
Information technology,Algoritim Trading and Time Series Analysis in Python and R,21/04/2022,Quant Finances,R,Software,,1,Yes,Holczer Balazs,Udemy,18.5,18.5,37,United Kingdown
Information technology,Website Hacking Penetration Test & Bug Bounty Hunting,31/03/2022,Security,Ethical Hacking,Infrastructure,,,Yes,Zaid Sabih,Udemy,10.5,10.5,21,United Kingdown
Business,A Complete Sales Training to Increase Sales,27/03/2022,Sales,Concepts,,,,Yes,Madhuri Singh,Udemy,20,0,20,United Kingdown
Information technology,Complete Ethical Hacking Bootcamp 2022,27/03/2022,Security,Ethical Hacking,Infrastructure,,,Yes,Andrei Neagoei,Udemy,28,28,56,United Kingdown
Information technology,Learn Python and Ethical Hack from Scratch,27/03/2022,Security,Ethical Hacking,Infrastructure,,,Yes,Zaid Sabih,Udemy,25,25,50,United Kingdown
